,name,url,image
0,Beco do Batman,https://www.yelp.com/biz/beco-do-batman-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/jK9UAC0X54DQIhN86ho65g/348s.jpg
1,Municipal Market of São Paulo,https://www.yelp.com/biz/mercado-municipal-de-s%C3%A3o-paulo-s%C3%A3o-paulo-2?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/NRIW8YVpcCxos4sR19-MSw/348s.jpg
2,Ibirapuera Park,https://www.yelp.com/biz/parque-do-ibirapuera-s%C3%A3o-paulo-2?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/FAZtfe9QJ-r7JZmclsCDKA/348s.jpg
3,MASP - São Paulo Museum of Art,https://www.yelp.com/biz/masp-museu-de-arte-de-s%C3%A3o-paulo-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/cGeBYy2SLcE4MLN9nfBG1g/348s.jpg
4,Galeria do Rock,https://www.yelp.com/biz/galeria-do-rock-s%C3%A3o-paulo-2?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/KO7ynWROtVLkshgohqLLkg/348s.jpg
5,Monumento às Bandeiras,https://www.yelp.com/biz/monumento-%C3%A0s-bandeiras-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/iAaISVLi-7xPv7nPbbxXJQ/348s.jpg
6,Edifício Altino Arantes,https://www.yelp.com/biz/edif%C3%ADcio-altino-arantes-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/DMW3Fa_fOOm8qqhdgawzwQ/348s.jpg
7,Municipal Theatre of São Paulo,https://www.yelp.com/biz/theatro-municipal-de-s%C3%A3o-paulo-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/sphXv_bPKhKcXCOfwkb90g/348s.jpg
8,House of Work,https://www.yelp.com/biz/house-of-work-s%C3%A3o-paulo?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/RbSvpxDCOp_wpVxKkPrpGw/348s.jpg
9,Embu,https://www.yelp.com/biz/embu-embu?osq=Attractions,https://s3-media0.fl.yelpcdn.com/bphoto/fWg6iSW7VXsjL-3oH2qDcQ/348s.jpg
